temparature,humidity,gasAnalog,flameDetected,fireStatus
3.479999924,61,565,0,0
3.479999924,61,574,0,0
3.490000153,61,560,0,0
35.0,61,570,0,0
3.509999847,61,563,0,0
3.509999847,61,555,0,0
3.520000076,60,576,0,0
3.529999924,60,570,0,0
3.529999924,60,569,0,0
3.540000153,60,576,0,0
3.540000153,60,573,0,0
35.5,60,567,0,0
35.5,60,574,0,0
35.5,59,581,0,0
3.559999847,59,572,0,0
35.5,59,602,0,0
35.5,59,586,0,0
3.540000153,59,597,0,0
3.540000153,58,602,0,0
3.540000153,58,595,0,0
3.529999924,58,601,0,0
3.529999924,58,599,0,0
3.520000076,57,627,0,0
3.520000076,57,627,0,0
3.520000076,57,647,0,0
3.509999847,57,648,0,0
3.509999847,56,624,0,0
3.509999847,56,623,0,0
35.0,56,634,0,0
35.0,56,632,0,0
35.0,56,649,0,0
3.490000153,55,666,0,0
3.490000153,55,650,0,0
3.479999924,55,672,0,0
3.479999924,55,690,0,0
3.470000076,55,714,0,0
3.470000076,55,720,0,0
3.459999847,55,737,0,0
3.459999847,55,809,0,0
34.5,55,906,0,0
34.5,55,990,0,0
34.5,55,809,0,0
34.5,55,749,0,0
3.440000153,54,747,0,0
3.440000153,53,759,0,0
3.440000153,53,773,0,0
3.440000153,53,816,0,0
3.440000153,53,831,0,0
3.440000153,53,862,0,0
34.5,53,930,0,0
34.5,53,1002,0,0
34.5,53,1165,0,1
34.5,53,1582,0,1
34.5,53,1423,0,1
3.459999847,53,1984,0,1
3.459999847,53,1388,1,1
3.470000076,53,1489,1,1
3.470000076,53,1775,1,1
3.479999924,53,1813,1,1
3.479999924,53,2671,1,1
3.479999924,53,2352,1,1
3.490000153,53,2154,1,1
3.490000153,54,1751,1,1
3.490000153,54,2016,1,1
35.0,54,1922,1,1
35.0,54,1936,1,1
35.0,54,1849,1,1
35.0,54,1616,1,1
35.0,54,2321,1,1
35.0,54,1895,1,1
3.490000153,54,1941,1,1
3.490000153,54,2283,1,1
3.490000153,55,1836,1,1
3.479999924,55,1965,1,1
3.479999924,55,2734,1,1
3.470000076,55,1992,1,1
3.470000076,55,2012,1,1
3.459999847,55,1850,1,1
3.459999847,55,2227,1,1
34.5,56,3322,1,1
34.5,55,2247,1,1
34.5,56,2348,1,1
34.5,55,2923,1,1
3.440000153,55,3517,1,1
3.440000153,55,3743,1,1
3.440000153,55,3486,1,1
3.429999924,55,2691,1,1
3.429999924,55,3307,1,1
3.420000076,55,2736,1,1
3.409999847,55,1381,1,1
3.409999847,55,781,0,1
34.0,55,875,0,1
34.0,55,1014,1,1
3.390000153,55,1251,1,1
3.379999924,55,1712,1,1
3.370000076,55,2154,1,1
3.359999847,55,2226,1,1
3.340000153,55,2003,1,1
3.329999924,55,2559,1,1
3.309999847,55,1648,1,1
3.029999924,69,571,0,0
3.029999924,69,566,0,0
3.029999924,69,562,0,0
3.029999924,69,565,0,0
3.029999924,69,576,0,0
3.039999962,69,596,0,0
3.039999962,69,584,0,0
3.039999962,69,592,0,0
3.039999962,69,587,0,0
30.5,69,582,0,0
30.5,69,577,0,0
30.5,69,583,0,0
30.5,68,578,0,0
3.060000038,68,581,0,0
3.060000038,68,608,0,0
3.060000038,68,592,0,0
3.060000038,68,576,0,0
3.070000076,68,601,0,0
3.070000076,68,596,0,0
3.070000076,68,592,0,0
3.070000076,68,590,0,0
3.079999924,68,602,0,0
3.079999924,68,621,0,0
3.079999924,67,597,0,0
3.079999924,67,602,0,0
3.089999962,67,592,0,0
3.089999962,67,598,0,0
3.089999962,67,599,0,0
31.0,67,598,0,0
31.0,67,608,0,0
31.0,67,616,0,0
31.0,67,624,0,0
31.0,66,624,0,0
31.0,66,620,0,0
3.110000038,66,625,0,0
3.110000038,66,625,0,0
3.120000076,66,622,0,0
3.120000076,66,634,0,0
3.120000076,66,634,0,0
3.129999924,66,635,0,0
3.129999924,66,635,0,0
3.129999924,66,639,0,0
3.139999962,66,638,0,0
3.139999962,66,656,0,0
31.5,66,649,0,0
31.5,66,649,0,0
31.5,66,656,0,0
3.160000038,66,656,0,0
3.160000038,66,673,0,0
3.160000038,66,692,0,0
3.170000076,66,694,0,0
3.170000076,66,689,0,0
3.179999924,66,694,0,0
3.179999924,66,709,0,0
3.179999924,66,727,0,0
3.189999962,66,743,0,0
3.189999962,66,768,0,0
32.0,67,796,0,0
32.0,67,854,0,0
32.0,67,945,0,0
32.0,67,1147,0,0
32.0,67,1478,0,0
3.209999847,67,1958,0,0
3.209999847,68,3041,0,0
3.209999847,68,3344,0,0
3.209999847,68,658,0,0
3.209999847,68,647,0,0
3.209999847,68,665,0,0
32.0,68,688,0,0
32.0,68,707,0,0
3.189999962,68,750,1,0
3.179999924,68,807,1,0
3.170000076,68,817,1,0
3.160000038,68,825,1,0
31.5,68,704,1,0
3.139999962,68,746,1,0
3.129999924,68,722,1,0
3.120000076,68,681,1,0
3.110000038,68,655,1,0
31.0,68,645,1,0
31.0,67,646,1,0
3.089999962,67,646,1,0
3.089999962,67,653,1,0
3.079999924,67,641,0,0
3.089999962,67,670,0,0
3.089999962,67,678,0,0
3.089999962,67,667,0,0
31.0,67,687,1,0
31.0,67,686,1,0
31.0,66,715,1,0
31.0,66,750,1,0
31.0,66,862,0,0
31.0,66,689,1,0
31.0,66,688,0,0
3.110000038,66,693,0,0
3.110000038,66,707,0,0
3.110000038,66,723,0,0
3.120000076,65,720,0,0
3.120000076,65,740,0,0
3.129999924,65,758,0,0
3.540000153,50,684,0,0
35.5,50,706,0,0
3.559999847,50,711,0,0
3.570000076,50,713,0,0
3.590000153,50,730,0,0
36.0,49,741,0,0
3.609999847,49,752,0,0
3.620000076,49,783,0,0
3.629999924,49,827,0,0
3.640000153,49,851,0,0
36.5,49,913,0,0
3.659999847,49,910,0,0
3.670000076,48,879,0,0
3.690000153,48,912,0,0
37.0,48,896,0,0
3.709999847,48,1163,0,0
3.729999924,48,839,0,0
3.740000153,48,883,0,0
3.759999847,48,949,0,0
3.770000076,48,1014,0,0
3.779999924,48,1153,0,1
3.790000153,48,1454,0,1
38.0,48,1906,0,1
38.0,48,2327,0,1
38.0,48,1325,0,1
38.0,48,1657,1,1
3.809999847,48,1442,1,1
3.809999847,49,2038,1,1
3.809999847,49,1423,1,1
3.809999847,49,1270,1,1
3.809999847,49,1574,1,1
3.809999847,49,1872,1,1
38.0,49,1921,1,1
38.0,49,1459,0,1
38.0,50,1712,1,1
38.0,50,1287,1,1
38.0,50,1833,1,1
38.0,50,1450,1,1
38.0,50,1908,0,1
38.0,50,2250,1,1
3.790000153,50,2691,0,1
3.779999924,50,1719,1,1
3.779999924,50,2359,1,1
3.770000076,50,1744,1,1
3.770000076,50,2418,1,1
3.759999847,50,2298,1,1
3.759999847,51,2773,0,1
3.759999847,51,2293,0,1
3.759999847,51,2814,1,1
3.759999847,51,2011,1,1
37.5,51,2455,1,1
3.759999847,51,2553,1,1
3.759999847,52,3175,1,1
3.759999847,52,2512,1,1
3.759999847,52,3342,0,1
3.759999847,53,2544,1,1
37.5,53,1662,1,0
3.740000153,53,2320,1,0
3.729999924,53,3690,1,0
3.729999924,53,670,1,0
3.720000076,54,672,1,0
37.0,54,698,1,1
3.690000153,56,994,1,1
3.679999924,56,991,1,1
3.670000076,57,1127,1,1
3.659999847,57,1342,1,1
36.5,58,1219,1,1
3.640000153,58,1276,1,1
3.629999924,59,1921,1,1
3.620000076,59,2224,1,1
3.609999847,60,2103,1,1
36.0,60,2005,1,1
36.0,61,1351,1,1
3.590000153,61,1264,1,1
3.579999924,62,1506,1,1
3.559999847,62,2416,1,1
35.5,63,2254,1,1
3.529999924,64,1821,1,1
3.509999847,65,2186,1,1
3.490000153,66,1489,1,1
3.470000076,67,2082,1,1
34.5,68,1793,1,1
3.429999924,68,1317,1,1
3.420000076,69,1184,1,1
34.0,70,1282,1,1
3.379999924,70,1535,1,1
3.359999847,70,1471,1,1
3.329999924,71,1366,1,0
3.309999847,72,1490,1,0
33.0,72,1642,1,0
3.279999924,73,1712,1,0
3.259999847,73,1565,1,0
3.240000153,74,1858,1,0
3.229999924,74,3133,0,0
32.0,75,2619,1,0
3.189999962,75,1669,1,0
3.170000076,75,503,0,0
31.5,75,496,0,0
3.129999924,75,511,1,0
3.110000038,75,511,1,0
3.020000076,69,682,0,0
3.020000076,69,663,0,0
3.029999924,69,668,0,0
3.029999924,69,671,0,0
3.029999924,69,671,0,0
3.029999924,69,681,0,0
3.029999924,68,670,0,0
3.039999962,68,675,0,0
3.039999962,68,675,0,0
3.039999962,68,686,0,0
3.039999962,68,675,0,0
30.5,68,681,0,0
30.5,68,681,0,0
30.5,68,674,0,0
30.5,68,681,0,0
30.5,68,677,0,0
3.060000038,68,688,0,0
3.060000038,68,691,0,0
3.060000038,67,687,0,0
3.060000038,67,697,0,0
3.070000076,67,683,0,0
3.070000076,67,693,0,0
3.070000076,67,702,0,0
3.079999924,67,698,0,0
3.079999924,67,699,0,0
3.079999924,67,705,0,0
31.0,67,699,0,0
31.0,66,721,0,0
31.0,66,711,0,0
31.0,66,715,0,0
31.0,66,733,0,0
3.110000038,65,746,0,0
3.110000038,65,714,0,0
3.120000076,65,736,0,0
3.120000076,65,727,0,0
3.120000076,65,728,0,0
3.129999924,65,744,0,0
3.129999924,65,727,0,0
3.139999962,64,743,0,0
3.139999962,64,756,0,0
31.5,64,752,0,0
31.5,64,762,0,0
3.160000038,64,768,0,0
3.160000038,64,784,0,0
3.170000076,64,779,0,0
3.170000076,64,784,0,0
3.179999924,64,775,0,0
3.179999924,64,782,0,0
3.179999924,64,799,0,0
3.189999962,63,795,0,0
32.0,63,824,0,0
32.0,63,821,0,0
32.0,63,832,0,0
3.209999847,63,839,0,0
3.209999847,63,859,0,0
3.220000076,63,880,0,0
3.220000076,63,888,0,0
3.229999924,63,918,0,0
3.240000153,63,988,1,0
3.240000153,63,1101,1,0
32.5,63,1334,1,0
32.5,63,1660,0,0
3.259999847,63,2209,1,0
3.259999847,63,2523,1,0
3.270000076,63,1846,0,0
3.279999924,63,2702,1,0
3.279999924,63,4095,0,0
3.290000153,63,3778,1,0
3.290000153,63,2833,1,0
33.0,63,1702,1,0
33.0,63,2352,1,0
33.0,63,4095,0,0
33.1,63,3517,1,0
3.309999847,63,724,1,0
3.309999847,63,812,0,0
3.320000076,64,971,0,0
3.320000076,64,1283,0,0
3.320000076,64,1626,0,0
3.320000076,64,552,0,0
3.320000076,64,542,1,0
3.320000076,65,555,1,0
3.309999847,65,542,0,0
3.309999847,65,563,0,0
3.309999847,65,561,1,0
33.0,65,584,1,0
33.0,66,607,1,0
33.0,66,653,1,0
3.290000153,66,711,0,0
3.290000153,67,804,0,0
3.279999924,67,560,0,0
3.270000076,67,576,1,0
3.270000076,67,580,0,0
3.259999847,67,545,0,0
32.5,68,547,1,0
3.240000153,68,528,0,0
3.240000153,68,539,0,0
3.229999924,68,546,0,0
3.229999924,69,528,0,0
3.220000076,69,533,0,0
3.220000076,69,528,0,0
2.910000038,78,571,0,0
2.910000038,78,565,0,0
2.910000038,78,563,0,0
2.910000038,78,571,0,0
2.910000038,78,570,0,0
2.910000038,78,565,0,0
2.910000038,78,577,0,0
2.910000038,78,566,0,0
2.910000038,78,562,0,0
2.910000038,78,559,0,0
2.910000038,78,575,0,0
2.910000038,78,576,0,0
2.910000038,78,561,0,0
2.910000038,78,571,0,0
2.910000038,78,576,0,0
2.910000038,78,569,0,0
2.910000038,78,587,0,0
2.910000038,78,576,0,0
2.910000038,78,560,0,0
2.910000038,78,578,0,0
2.910000038,78,571,0,0
2.910000038,78,576,0,0
2.910000038,78,560,0,0
2.910000038,78,576,0,0
2.910000038,78,572,0,0
2.920000076,78,574,0,0
2.920000076,78,571,0,0
2.920000076,78,570,0,0
2.920000076,78,575,0,0
2.920000076,78,590,0,0
2.920000076,78,577,0,0
2.920000076,79,582,0,0
2.920000076,79,581,0,0
2.920000076,79,586,0,0
2.920000076,79,574,0,0
2.920000076,79,587,0,0
2.920000076,79,587,0,0
2.920000076,79,603,0,0
2.920000076,79,623,0,0
2.920000076,79,611,0,0
2.920000076,79,592,0,0
2.920000076,79,589,0,0
2.920000076,79,576,0,0
2.920000076,79,579,0,0
2.920000076,78,592,0,0
2.920000076,78,587,0,0
2.920000076,79,592,0,0
2.920000076,79,591,0,0
2.920000076,78,567,0,0
2.920000076,78,581,0,0
2.920000076,79,592,0,0
2.920000076,79,571,0,0
2.920000076,78,587,0,0
2.920000076,78,579,0,0
2.920000076,79,562,0,0
2.920000076,78,582,0,0
2.920000076,79,581,0,0
2.920000076,78,577,0,0
2.920000076,79,577,0,0
2.920000076,78,590,0,0
2.920000076,79,593,0,0
2.920000076,79,612,0,0
2.920000076,79,614,0,0
2.920000076,79,599,0,0
2.920000076,79,602,0,0
2.920000076,79,598,0,0
2.920000076,79,607,0,0
2.920000076,79,595,0,0
2.920000076,79,591,0,0
2.920000076,79,594,0,0
2.920000076,79,586,0,0
2.920000076,79,607,0,0
2.920000076,79,609,0,0
2.920000076,79,590,0,0
2.920000076,79,591,0,0
2.920000076,79,602,0,0
2.920000076,79,604,0,0
2.910000038,79,624,0,0
2.910000038,79,620,0,0
2.910000038,79,624,0,0
2.910000038,79,619,0,0
2.910000038,79,595,0,0
2.910000038,79,601,0,0
2.910000038,79,622,0,0
2.910000038,79,607,0,0
2.910000038,79,606,0,0
2.910000038,79,611,0,0
2.910000038,79,613,0,0
2.910000038,79,601,0,0
2.910000038,79,601,0,0
2.910000038,79,610,0,0
2.910000038,79,603,0,0
2.910000038,79,595,0,0
2.910000038,79,610,0,0
2.910000038,79,590,0,0
2.910000038,79,602,0,0
2.910000038,79,603,0,0
2.910000038,79,605,0,0
2.910000038,79,607,0,0
2.910000038,79,603,0,0
