,temparature,humidity,gasAnalog,flameDetected,fireStatus
,3.479.999.924,61,565,FALSE,FALSE
,3.479.999.924,61,574,FALSE,FALSE
,3.490.000.153,61,560,FALSE,FALSE
,35,61,570,FALSE,FALSE
,3.509.999.847,61,563,FALSE,FALSE
,3.509.999.847,61,555,FALSE,FALSE
,3.520.000.076,60,576,FALSE,FALSE
,3.529.999.924,60,570,FALSE,FALSE
,3.529.999.924,60,569,FALSE,FALSE
,3.540.000.153,60,576,FALSE,FALSE
,3.540.000.153,60,573,FALSE,FALSE
,35.5,60,567,FALSE,FALSE
,35.5,60,574,FALSE,FALSE
,35.5,59,581,FALSE,FALSE
,3.559.999.847,59,572,FALSE,FALSE
,35.5,59,602,FALSE,FALSE
,35.5,59,586,FALSE,FALSE
,3.540.000.153,59,597,FALSE,FALSE
,3.540.000.153,58,602,FALSE,FALSE
,3.540.000.153,58,595,FALSE,FALSE
,3.529.999.924,58,601,FALSE,FALSE
,3.529.999.924,58,599,FALSE,FALSE
,3.520.000.076,57,627,FALSE,FALSE
,3.520.000.076,57,627,FALSE,FALSE
,3.520.000.076,57,647,FALSE,FALSE
,3.509.999.847,57,648,FALSE,FALSE
,3.509.999.847,56,624,FALSE,FALSE
,3.509.999.847,56,623,FALSE,FALSE
,35,56,634,FALSE,FALSE
,35,56,632,FALSE,FALSE
,35,56,649,FALSE,FALSE
,3.490.000.153,55,666,FALSE,FALSE
,3.490.000.153,55,650,FALSE,FALSE
,3.479.999.924,55,672,FALSE,FALSE
,3.479.999.924,55,690,FALSE,FALSE
,3.470.000.076,55,714,FALSE,FALSE
,3.470.000.076,55,720,FALSE,FALSE
,3.459.999.847,55,737,FALSE,FALSE
,3.459.999.847,55,809,FALSE,FALSE
,34.5,55,906,FALSE,FALSE
,34.5,55,990,FALSE,FALSE
,34.5,55,809,FALSE,FALSE
,34.5,55,749,FALSE,FALSE
,3.440.000.153,54,747,FALSE,FALSE
,3.440.000.153,53,759,FALSE,FALSE
,3.440.000.153,53,773,FALSE,FALSE
,3.440.000.153,53,816,FALSE,FALSE
,3.440.000.153,53,831,FALSE,FALSE
,3.440.000.153,53,862,FALSE,FALSE
,34.5,53,930,FALSE,FALSE
,34.5,53,1002,FALSE,FALSE
,34.5,53,1165,FALSE,TRUE
,34.5,53,1582,FALSE,TRUE
,34.5,53,1423,FALSE,TRUE
,3.459.999.847,53,1984,FALSE,TRUE
,3.459.999.847,53,1388,TRUE,TRUE
,3.470.000.076,53,1489,TRUE,TRUE
,3.470.000.076,53,1775,TRUE,TRUE
,3.479.999.924,53,1813,TRUE,TRUE
,3.479.999.924,53,2671,TRUE,TRUE
,3.479.999.924,53,2352,TRUE,TRUE
,3.490.000.153,53,2154,TRUE,TRUE
,3.490.000.153,54,1751,TRUE,TRUE
,3.490.000.153,54,2016,TRUE,TRUE
,35,54,1922,TRUE,TRUE
,35,54,1936,TRUE,TRUE
,35,54,1849,TRUE,TRUE
,35,54,1616,TRUE,TRUE
,35,54,2321,TRUE,TRUE
,35,54,1895,TRUE,TRUE
,3.490.000.153,54,1941,TRUE,TRUE
,3.490.000.153,54,2283,TRUE,TRUE
,3.490.000.153,55,1836,TRUE,TRUE
,3.479.999.924,55,1965,TRUE,TRUE
,3.479.999.924,55,2734,TRUE,TRUE
,3.470.000.076,55,1992,TRUE,TRUE
,3.470.000.076,55,2012,TRUE,TRUE
,3.459.999.847,55,1850,TRUE,TRUE
,3.459.999.847,55,2227,TRUE,TRUE
,34.5,56,3322,TRUE,TRUE
,34.5,55,2247,TRUE,TRUE
,34.5,56,2348,TRUE,TRUE
,34.5,55,2923,TRUE,TRUE
,3.440.000.153,55,3517,TRUE,TRUE
,3.440.000.153,55,3743,TRUE,TRUE
,3.440.000.153,55,3486,TRUE,TRUE
,3.429.999.924,55,2691,TRUE,TRUE
,3.429.999.924,55,3307,TRUE,TRUE
,3.420.000.076,55,2736,TRUE,TRUE
,3.409.999.847,55,1381,TRUE,TRUE
,3.409.999.847,55,781,FALSE,TRUE
,34,55,875,FALSE,TRUE
,34,55,1014,TRUE,TRUE
,3.390.000.153,55,1251,TRUE,TRUE
,3.379.999.924,55,1712,TRUE,TRUE
,3.370.000.076,55,2154,TRUE,TRUE
,3.359.999.847,55,2226,TRUE,TRUE
,3.340.000.153,55,2003,TRUE,TRUE
,3.329.999.924,55,2559,TRUE,TRUE
,3.309.999.847,55,1648,TRUE,TRUE
,3.029.999.924,69,571,FALSE,FALSE
,3.029.999.924,69,566,FALSE,FALSE
,3.029.999.924,69,562,FALSE,FALSE
,3.029.999.924,69,565,FALSE,FALSE
,3.029.999.924,69,576,FALSE,FALSE
,3.039.999.962,69,596,FALSE,FALSE
,3.039.999.962,69,584,FALSE,FALSE
,3.039.999.962,69,592,FALSE,FALSE
,3.039.999.962,69,587,FALSE,FALSE
,30.5,69,582,FALSE,FALSE
,30.5,69,577,FALSE,FALSE
,30.5,69,583,FALSE,FALSE
,30.5,68,578,FALSE,FALSE
,3.060.000.038,68,581,FALSE,FALSE
,3.060.000.038,68,608,FALSE,FALSE
,3.060.000.038,68,592,FALSE,FALSE
,3.060.000.038,68,576,FALSE,FALSE
,3.070.000.076,68,601,FALSE,FALSE
,3.070.000.076,68,596,FALSE,FALSE
,3.070.000.076,68,592,FALSE,FALSE
,3.070.000.076,68,590,FALSE,FALSE
